parameter,log_loss_train,log_loss_validation
5.0,0.3306868676261132,0.33746308443058753
6.0,0.2160506208900196,0.2368016842968649
7.0,0.17045214818006255,0.1986483083037001
8.0,0.14652269138446114,0.17946599139864375
9.0,0.13295992128436468,0.16569616406256302
10.0,0.11232127272107344,0.14468731255791406
11.0,0.10543976637666773,0.14171176767312774
12.0,0.10046439810576936,0.13731184842108646
13.0,0.09800941788584566,0.1348500634330483
14.0,0.09076040169308663,0.1273539891182456
15.0,0.09630891040270996,0.13670955350432706
16.0,0.09315041638847517,0.13261326792350614
17.0,0.0954306664905002,0.1381648712284081
18.0,0.085579424943274,0.12858319326870396
19.0,0.08628813975998796,0.1296114964315065
20.0,0.08773488218825248,0.1330057396524065
